Player,AB,H,2B,3B,HR,BB,HBP
Russell Ste,14,1,0,0,0,2,3
Wilson Davis,0,0,0,0,0,0,0
Creech Jake,1,0,0,0,0,1,0
Moore Brandon,0,0,0,0,0,0,0
Bohn Mason,0,0,0,0,0,0,0
Netzler Hunter,0,0,0,0,0,0,0
Wiederholt Sam,1,0,0,0,0,0,0
Strupp Henry,1,0,0,0,0,0,0
Martinez Michael,0,0,0,0,0,0,0
Lange Logan,0,0,0,0,0,0,0
Lovisa Bryce,0,0,0,0,0,0,0
Espinosa Nathan,6,2,0,0,0,3,0
Gebler Colin,0,0,0,0,0,0,0
Bartelt Casey,0,0,0,0,0,0,0
Medvecz Connor,0,0,0,0,0,0,0
Alsteen Tanner,0,0,0,0,0,0,0
Destiche Ben,0,0,0,0,0,0,0
Jordan Brody,0,0,0,0,0,0,0
Grimm Isaiah,0,0,0,0,0,0,0
"Oswald, Lucas",1,0,0,0,0,1,0
R. Vooren,0,0,0,0,0,0,0
"Bilotta, Jake",134,45,13,1,0,12,5
"Stagowski, Joseph",121,50,13,2,5,10,6
"Leon, Jonathan",135,40,1,0,0,13,3
"Perez, Alex",115,31,6,0,0,11,2
"Herzog, Jared",126,37,9,0,4,14,1
"Stejskal, Ryan",150,52,7,2,6,10,1
"Monti, Aaron",22,2,0,0,0,1,1
"Leon, Eric",14,0,0,0,0,1,1
"Cooper, Cobi",22,2,0,0,0,8,1
"Cox, TJ",78,19,5,0,3,9,1
"Henninger, Bryce",0,0,0,0,0,0,0
"Garcia, Richie",50,16,2,1,1,6,1
"Shallenbarger, Blake",0,0,0,0,0,0,0
"Bidwell, Brayden",0,0,0,0,0,0,0
"McKinley, Vernon",0,0,0,0,0,2,2
"Easton, Alex",0,0,0,0,0,4,0
"Graves, BJ",53,20,5,0,0,5,1
"Evans, Kent",0,0,0,0,0,0,0
"Paun, Nick",0,0,0,0,0,0,0
"Maher, Tommy",0,0,0,0,0,0,0
"Watson, Logan",13,4,2,1,0,1,0
"Rempfer, Quinn",0,0,0,0,0,0,0
"Gowan, Scott",87,16,7,0,1,10,2
"Bergstrom, Kadin",2,0,0,0,0,2,0
"Duke, Zach",2,2,0,0,0,0,0
"Abdallah, Malik",53,11,3,0,1,5,2
"Addotta, Trevor",0,0,0,0,0,0,0
"Fabis, Zach",5,0,0,0,0,1,0
"List, Logan",0,0,0,0,0,0,0
"Hawks, Chris",0,0,0,0,0,0,0
"Bezares, Immanuel",0,0,0,0,0,0,0
"Mace, Blaise",51,12,6,0,0,12,3
"Martinez, Samuel",27,4,0,0,1,1,1
"Burchert, Mitch",20,4,0,0,0,4,0
"Hissong, Will",31,8,2,0,0,9,1
"Ramirez, Nicholas",0,0,0,2,0,0,0
A. Gil,0,0,0,0,0,0,0
Seth Altman,4,1,0,0,0,2,0
Caleb Giesken,0,0,0,0,0,0,0
Devin Geary,165,49,8,2,1,15,9
Eric Kramer,91,20,0,0,2,4,3
Caden Uhlenbrauck,170,53,6,3,0,8,6
Sebastien Dubois,154,58,11,4,5,30,4
Trevor Reinhardt,167,57,13,2,6,19,4
Natan Rodriguez,17,2,0,0,0,6,1
Tommy Sheehan,103,33,7,0,0,10,1
Ben Boda,38,10,3,0,0,5,0
Jaden Holgado,110,35,2,1,0,19,7
Carson Krumrei,109,33,3,1,0,9,6
Adam Denniston,38,7,0,0,0,3,2
Peyton Just,70,24,3,0,4,16,2
Sam O'Leary,24,5,0,0,0,4,3
Grady Brick,41,2,1,0,0,5,2
Luke Steebs,0,0,0,0,0,0,0
Logan Thiex,0,0,0,0,0,0,0
Miles Freidman,0,0,0,0,0,0,0
Trevor Cornell,38,7,1,0,1,3,3
Tommy Alston,1,1,1,0,0,0,0
Nolan Amundson,0,0,0,0,0,0,0
Cole Bzdawka,0,0,0,0,0,0,0
Patrick Daniels,1,0,0,0,0,0,0
Will DeBruin,46,10,1,0,4,6,2
Tom Devine,0,0,0,0,0,0,0
A.J. Kisting,10,1,0,0,0,1,0
Noah Lindsley,1,1,0,0,0,0,0
Grant Maus,1,1,0,0,0,0,0
Jace Midbon,0,0,0,0,0,0,0
Tyler Pigeon,4,0,0,0,0,0,0
Jason Schroeder,0,0,0,0,0,0,0
Huck Sprong,21,5,1,0,1,1,2
Brian Treacy,0,0,0,0,0,0,0
Marty Walsh,0,0,0,0,0,0,0
Mark Watson,0,0,0,0,0,0,0
Kylo Barker,0,0,0,0,0,0,0
Josh Uhlhorn,0,0,0,0,0,0,0
Carter Raabe,134,35,4,0,2,10,0
Ryan Dominick,133,42,7,2,3,23,4
Connor Donohue,31,2,0,0,0,4,4
Foster Engelhardt,110,25,5,1,1,22,7
Kason McFadden,85,15,1,2,1,12,1
Lucas Oswald,49,12,4,0,0,10,1
Tim Frerking,54,8,1,0,0,7,0
Noah Zaccanti,91,28,10,0,0,5,2
Henry Strupp,107,23,0,0,2,11,0
Eli Michaelis,115,34,6,0,0,6,5
Andrew Muffler,0,0,0,0,0,0,0
Ike Bramlett,1,0,0,0,0,0,0
Danny Cain,82,19,7,0,2,5,1
Joseph Cook,17,2,0,0,0,0,0
Tyler Danko,45,10,1,0,0,7,3
Noah Eggert,0,0,0,0,0,0,0
Brady Ekenberg,0,0,0,0,0,0,0
Nick Fryhover,16,1,0,0,0,2,0
Eli Jefferson,1,1,0,0,0,0,0
Tyler Johnson,0,0,0,0,0,0,0
Fabio Kamitani,0,0,0,0,0,0,0
Gabe Knight,0,0,0,0,0,0,0
Peyton Lenga,1,0,0,0,0,0,0
Oliver Lopeztello,44,16,4,0,0,10,2
Hunter Martin,0,0,0,0,0,0,0
Glavine Matthes,0,0,0,0,0,0,0
Adam Meier,0,0,0,0,0,0,0
Jaime Miner,0,0,0,0,0,0,0
Jordan Pope,0,0,0,0,0,0,0
Storm Portsche,0,0,0,0,0,0,0
Braylen Robertson,1,0,0,0,0,0,0
Elijah Shevey,50,9,2,0,0,7,0
Jake Sillan,33,7,1,0,0,2,0
Joshua Tahaney,0,0,0,0,0,0,0
Caiden Treske,0,0,0,0,0,0,0
Will Tucholski,0,0,0,0,0,0,0
"Kalekas, CJ",155,40,5,0,0,24,1
"Downing, Grayson",162,74,9,1,0,16,1
"Galdi, Matt",157,43,9,1,1,9,1
"Zappe, Gavin",29,5,2,0,0,1,0
"Wano, Garrett",152,51,13,2,11,15,2
"Brandt, Keegan",44,9,5,0,1,8,0
"Doty, Austin",40,7,0,0,0,2,1
"Schmidt, Ryan",61,11,2,1,0,5,1
"Partridge, Matthew",52,11,2,1,0,8,3
"Galvin, Braiden",54,9,0,0,0,4,2
"Ridgon, Zach",48,11,0,2,0,9,1
"Young, Hayden",0,0,0,0,0,0,0
"Ferraro, Tyler",0,0,0,0,0,0,0
"Brooks, Payton",1,0,0,0,0,1,0
"Nalbono, Anthony",83,13,1,1,1,11,1
"Chiarito, Rocco",0,0,0,0,0,0,0
"Haslam, Joey",-1,0,0,0,0,0,0
"Kendziora, Chris",-2,0,0,0,0,1,0
"Harvey, Carson",0,0,0,0,0,0,0
"Arsenault, Peyton",6,1,0,0,0,0,0
"Bagatourian, Derek",4,0,0,0,0,1,0
"Hannafin, Matthew",0,0,0,0,0,0,0
"Shepherd, Ethan",0,0,0,0,0,0,0
"Polonus, Jake",51,11,1,0,1,7,3
"Rogers, Dalton",0,0,0,0,0,0,0
"Tormey, John",102,28,4,2,0,10,2
"Krecu, Niko",9,1,0,0,0,1,0
"McCall, Gabe",50,11,1,0,0,3,5
"O'Grady, Aaron",0,0,0,0,0,0,0
"Tanko, Jackson",0,0,0,0,0,0,0
"Christopher, Michael",1,0,0,0,0,0,0
"Helein, Zach",86,25,2,0,0,11,0
"Spens, OakLee",129,44,12,1,0,12,8
"LaMack, Tyler",121,40,13,0,4,15,6
"Hodges, Kellen",83,17,3,0,0,14,6
"Sobieski, Landen",67,15,5,0,0,6,2
"Costello, Dylan",9,0,0,0,0,1,2
"Pugh, Sawyer",0,0,0,0,0,0,0
"Leopold, Noah",38,8,2,0,0,13,6
"Sharma, Armaan",35,7,1,0,0,2,3
"Hernandez, Ramiro",3,1,0,0,0,0,0
"Gould, Kyle",31,7,3,1,0,5,2
"Robinson, Griffin",58,9,2,0,2,15,6
"Holton, Austin",4,0,0,0,0,0,0
"Schroer, Michael",25,3,0,0,0,6,0
"Palmer, Austin",51,6,2,1,0,6,7
"Biggs, Brian",18,1,1,0,0,2,0
"Yust, Anthony",0,0,0,0,0,0,0
"Dixon, Cole",-2,0,0,0,0,1,0
"Dwyer, Gavin",5,0,0,0,0,0,0
"Cournoyer, Jay",7,1,0,0,0,1,1
"Erbstoesser, Andrew",1,0,0,0,0,0,0
"Pecore, Luke",0,0,0,0,0,0,0
"Mikula, Alex",1,0,0,0,0,0,0
"Sobieski, Lane",112,30,6,0,3,14,1
"Keegan, Zak",99,27,2,2,1,11,0
"Fay, Brody",-4,-2,2,0,0,0,0
Krause Andrew,-5,-2,0,0,0,0,0
"Bukantis, Hunter",2,0,0,0,0,1,0
"Day, Chris",110,26,3,0,2,13,4
"Scalia, Francesco",0,0,0,0,0,0,0
"Wollschlaeger, Jacob",32,4,0,0,0,6,0
"Soto, Lurian",0,0,0,0,0,0,0
"Davi, Dominic",9,2,1,0,0,0,2
"Harvey, Kejuan",26,4,1,0,0,1,1
"Coleman, Brady",0,0,0,0,0,0,0
G. Soto,0,0,0,0,0,0,0
