Player,AB,H,2B,3B,HR,BB,HBP
Adam Bigus (KEW),3,1,0,0,0,0,1
Alex Eggleston (HUS),3,1,0,0,0,1,0
Lucas Simon (RUB),3,1,1,0,0,2,0
Josh Shere (MIL),28,9,1,1,1,5,1
Nolan Boettcher (HUS),16,5,0,0,0,3,1
Brandon Laabs (OAK),23,7,0,0,0,2,0
Mike Mueller (SAU),30,9,1,0,0,2,0
Ryan Molini (JOH),10,3,0,0,0,0,0
John Nieskes (THI),10,3,0,0,0,1,0
Brad Weber (KEW),27,8,0,0,0,7,0
Angel Schilling (ASH),17,5,1,0,0,1,0
Jason Hoida (KEW),17,5,2,0,1,3,0
Charlie O'Connell (CED),31,9,0,0,0,2,0
Andy Neu (KEW),28,8,2,0,0,5,0
Kaleb Hartwig (JOH),7,2,0,0,0,0,0
Ian Tucker (SAU),7,2,0,0,0,1,0
Austin Syvertson (OAK),7,2,1,0,0,0,0
Jonathan Learman (RUB),25,7,1,0,0,6,4
Chris Nelson (MIL),18,5,0,0,0,6,2
Nick Boehnlein (CED),29,8,1,0,0,2,1
Adam Gross (ASH),15,4,2,0,0,1,0
Quinten Williams (ASH),20,5,0,0,0,1,1
Ben Kleist (OAK),20,5,2,0,1,1,2
Brody Marks (HAR),8,2,0,0,0,1,1
Alec Campbell (MIL),8,2,1,0,0,3,3
BJ Sabol (CLY),8,2,0,0,0,2,0
Will Mattheis (KEW),8,2,0,0,0,1,0
Alec Esenther (ASH),4,1,0,1,0,1,0
Camden R (ASH),4,1,0,0,0,0,0
Zach Drake (HAR),4,1,0,0,0,0,0
Brian Bert (CED),4,1,0,0,0,0,0
Nick Keller (THI),4,1,0,0,0,0,0
Gabe Nelson (SAU),4,1,0,0,0,0,0
Tyler Gronert (KEW),4,1,0,0,0,1,1
Daniel Denault (LEB),4,1,1,0,0,0,0
Matt Shafer (OAK),4,1,0,0,0,0,0
Dayton Rozinski-Hicks (HUS),4,1,0,0,0,0,0
Jerome Pawlak (THI),29,7,2,1,0,3,2
Chase Schroeder (NEO),25,6,3,0,1,1,3
Aiden Thomas (THI),17,4,0,0,0,1,0
Howie Olszewski (JOH),30,7,0,0,0,2,0
Jayden Redeker (OAK),26,6,1,0,0,3,1
Charlie Carr (CED),22,5,0,0,0,0,0
TJ Roberts (KEW),22,5,0,0,0,1,0
Josh Braunschweig (JOH),31,7,0,0,0,0,1
Matt Sutter (NEO),27,6,1,0,0,2,4
Brady Martin (CLY),9,2,2,0,0,2,0
Derek Olszewski (JOH),32,7,0,1,0,2,0
